cost_burden,household_income,county,value
Unburdened (Less than 30%),80+% AMI,Alpena County,6795.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Alpena County,460.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Alpena County,1985.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Alpena County,745.0
Severly Cost Burdened (50% or more),80+% AMI,Antrim County,25.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Antrim County,450.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Antrim County,215.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Antrim County,300.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Antrim County,165.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Antrim County,85.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Antrim County,385.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Antrim County,330.0
Unburdened (Less than 30%),80+% AMI,Antrim County,5765.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Antrim County,250.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Antrim County,1065.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Antrim County,410.0
Severly Cost Burdened (50% or more),80+% AMI,Arenac County,4.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Arenac County,370.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Arenac County,50.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Arenac County,180.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Arenac County,75.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Arenac County,130.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Arenac County,330.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Arenac County,335.0
Unburdened (Less than 30%),80+% AMI,Arenac County,3516.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Arenac County,260.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Arenac County,915.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Arenac County,415.0
Severly Cost Burdened (50% or more),80+% AMI,Baraga County,15.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Baraga County,270.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Baraga County,30.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Baraga County,45.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Baraga County,30.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Baraga County,40.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Baraga County,115.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Baraga County,115.0
Unburdened (Less than 30%),80+% AMI,Baraga County,1606.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Baraga County,110.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Baraga County,425.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Baraga County,200.0
Severly Cost Burdened (50% or more),80+% AMI,Barry County,20.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Barry County,1080.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Barry County,230.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Barry County,615.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Barry County,420.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Barry County,290.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Barry County,1025.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Barry County,710.0
Unburdened (Less than 30%),80+% AMI,Barry County,14490.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Barry County,435.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Barry County,3005.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Barry County,1085.0
Severly Cost Burdened (50% or more),80+% AMI,Bay County,35.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Bay County,2690.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Bay County,365.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Bay County,1230.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Bay County,555.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Bay County,725.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Bay County,2385.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Bay County,2090.0
Unburdened (Less than 30%),80+% AMI,Bay County,25970.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Bay County,1295.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Bay County,4470.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Bay County,1385.0
Severly Cost Burdened (50% or more),80+% AMI,Benzie County,30.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Benzie County,365.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Benzie County,105.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Benzie County,190.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Benzie County,85.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Benzie County,60.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Benzie County,275.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Benzie County,235.0
Unburdened (Less than 30%),80+% AMI,Benzie County,4070.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Benzie County,130.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Benzie County,705.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Benzie County,245.0
Severly Cost Burdened (50% or more),80+% AMI,Berrien County,125.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Berrien County,4165.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Berrien County,835.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Berrien County,2195.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Berrien County,870.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Berrien County,915.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Berrien County,2890.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Berrien County,2885.0
Unburdened (Less than 30%),80+% AMI,Berrien County,35870.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Berrien County,1960.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Berrien County,6970.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Berrien County,2590.0
Severly Cost Burdened (50% or more),80+% AMI,Branch County,25.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Branch County,730.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Branch County,135.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Branch County,430.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Branch County,205.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Branch County,150.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Branch County,915.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Branch County,685.0
Unburdened (Less than 30%),80+% AMI,Branch County,9790.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Branch County,440.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Branch County,2000.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Branch County,600.0
Severly Cost Burdened (50% or more),80+% AMI,Calhoun County,80.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Calhoun County,3725.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Calhoun County,755.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Calhoun County,2025.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Calhoun County,825.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Calhoun County,875.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Calhoun County,2735.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Calhoun County,2410.0
Unburdened (Less than 30%),80+% AMI,Calhoun County,30995.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Calhoun County,1200.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Calhoun County,5110.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Calhoun County,1805.0
Severly Cost Burdened (50% or more),80+% AMI,Cass County,95.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Cass County,870.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Cass County,210.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Cass County,465.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Cass County,420.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Cass County,200.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Cass County,850.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Cass County,605.0
Unburdened (Less than 30%),80+% AMI,Cass County,12710.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Cass County,620.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Cass County,2620.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Cass County,585.0
Severly Cost Burdened (50% or more),80+% AMI,Charlevoix County,20.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Charlevoix County,460.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Charlevoix County,180.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Charlevoix County,335.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Charlevoix County,205.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Charlevoix County,110.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Charlevoix County,600.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Charlevoix County,520.0
Unburdened (Less than 30%),80+% AMI,Charlevoix County,6570.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Charlevoix County,335.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Charlevoix County,1190.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Charlevoix County,520.0
Severly Cost Burdened (50% or more),80+% AMI,Cheboygan County,35.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Cheboygan County,535.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Cheboygan County,195.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Cheboygan County,240.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Cheboygan County,170.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Cheboygan County,140.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Cheboygan County,535.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Cheboygan County,425.0
Unburdened (Less than 30%),80+% AMI,Cheboygan County,6185.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Cheboygan County,480.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Cheboygan County,1460.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Cheboygan County,580.0
Severly Cost Burdened (50% or more),80+% AMI,Chippewa County,25.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Chippewa County,870.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Chippewa County,110.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Chippewa County,505.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Chippewa County,160.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Chippewa County,230.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Chippewa County,630.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Chippewa County,725.0
Unburdened (Less than 30%),80+% AMI,Chippewa County,7715.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Chippewa County,505.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Chippewa County,1650.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Chippewa County,670.0
Severly Cost Burdened (50% or more),80+% AMI,Clare County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Clare County,1030.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Clare County,115.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Clare County,430.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Clare County,100.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Clare County,235.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Clare County,670.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Clare County,875.0
Unburdened (Less than 30%),80+% AMI,Clare County,5870.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Clare County,415.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Clare County,1725.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Clare County,825.0
Severly Cost Burdened (50% or more),80+% AMI,Clinton County,20.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Clinton County,1395.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Clinton County,295.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Clinton County,575.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Clinton County,425.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Clinton County,365.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Clinton County,1080.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Clinton County,1005.0
Unburdened (Less than 30%),80+% AMI,Clinton County,19030.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Clinton County,460.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Clinton County,3250.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Clinton County,865.0
Severly Cost Burdened (50% or more),80+% AMI,Crawford County,4.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Crawford County,325.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Crawford County,85.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Crawford County,230.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Crawford County,85.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Crawford County,100.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Crawford County,305.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Crawford County,175.0
Unburdened (Less than 30%),80+% AMI,Crawford County,3536.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Crawford County,265.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Crawford County,625.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Crawford County,235.0
Severly Cost Burdened (50% or more),80+% AMI,Delta County,15.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Delta County,965.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Delta County,135.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Delta County,420.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Delta County,185.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Delta County,215.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Delta County,630.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Delta County,650.0
Unburdened (Less than 30%),80+% AMI,Delta County,9105.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Delta County,565.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Delta County,1940.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Delta County,845.0
Severly Cost Burdened (50% or more),80+% AMI,Dickinson County,15.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Dickinson County,800.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Dickinson County,80.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Dickinson County,290.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Dickinson County,45.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Dickinson County,145.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Dickinson County,345.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Dickinson County,380.0
Unburdened (Less than 30%),80+% AMI,Dickinson County,6735.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Dickinson County,290.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Dickinson County,1370.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Dickinson County,475.0
Severly Cost Burdened (50% or more),80+% AMI,Eaton County,85.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Eaton County,2700.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Eaton County,390.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Eaton County,870.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Eaton County,565.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Eaton County,430.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Eaton County,2000.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Eaton County,1675.0
Unburdened (Less than 30%),80+% AMI,Eaton County,27705.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Eaton County,740.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Eaton County,5045.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Eaton County,1250.0
Severly Cost Burdened (50% or more),80+% AMI,Emmet County,45.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Emmet County,815.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Emmet County,285.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Emmet County,460.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Emmet County,245.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Emmet County,150.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Emmet County,770.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Emmet County,570.0
Unburdened (Less than 30%),80+% AMI,Emmet County,8080.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Emmet County,370.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Emmet County,1550.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Emmet County,620.0
Severly Cost Burdened (50% or more),80+% AMI,Genesee County,545.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Genesee County,13775.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Genesee County,2300.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Genesee County,6550.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Genesee County,2940.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Genesee County,2300.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Genesee County,8690.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Genesee County,7860.0
Unburdened (Less than 30%),80+% AMI,Genesee County,94625.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Genesee County,4940.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Genesee County,14725.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Genesee County,4635.0
Severly Cost Burdened (50% or more),80+% AMI,Gladwin County,40.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Gladwin County,730.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Gladwin County,165.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Gladwin County,340.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Gladwin County,150.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Gladwin County,255.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Gladwin County,385.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Gladwin County,425.0
Unburdened (Less than 30%),80+% AMI,Gladwin County,5846.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Gladwin County,390.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Gladwin County,1410.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Gladwin County,610.0
Severly Cost Burdened (50% or more),80+% AMI,Gogebic County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Gogebic County,505.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Gogebic County,50.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Gogebic County,70.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Gogebic County,55.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Gogebic County,195.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Gogebic County,230.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Gogebic County,350.0
Unburdened (Less than 30%),80+% AMI,Gogebic County,3350.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Gogebic County,285.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Gogebic County,930.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Gogebic County,520.0
Severly Cost Burdened (50% or more),80+% AMI,Grand Traverse County,60.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Grand Traverse County,2085.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Grand Traverse County,595.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Grand Traverse County,1110.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Grand Traverse County,765.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Grand Traverse County,340.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Grand Traverse County,2020.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Grand Traverse County,1495.0
Unburdened (Less than 30%),80+% AMI,Grand Traverse County,21610.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Grand Traverse County,745.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Grand Traverse County,3685.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Grand Traverse County,1385.0
Severly Cost Burdened (50% or more),80+% AMI,Gratiot County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Gratiot County,1295.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Gratiot County,80.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Gratiot County,435.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Gratiot County,160.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Gratiot County,165.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Gratiot County,815.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Gratiot County,700.0
